"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Credit Card (TG)","","25-04-2026","Value Village","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.02 ~ Category: Other",3.38$,0.00$,"Reconciled"
"Reconcile account","","24-04-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Reconciled"
"Credit Card (TG)","","24-04-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 1.20 ~ Category: Bill Payment",60.00$,0.00$,"Reconciled"
"Credit Card (TG)","","24-04-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 1.00 ~ Category: Bill Payment",50.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","24-04-2026","DESERRES TORONTO ON","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies","Rewards earned: 0.20 ~ Category: Other",39.53$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","24-04-2026","DESERRES TORONTO ON","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.19 ~ Category: Other",38.40$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","24-04-2026","PRESTO AUTO/RLQ2SFQ2XP TORONTO O","Cumulative: Public Transportation","Cumulative","Public Transportation","Rewards earned: 0.10 ~ Category: Parking",20.00$,0.00$,"Reconciled"
"Credit Card (TG)","","24-04-2026","VM 7975 TORONTO ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.39 ~ Category: Groceries",19.48$,0.00$,"Reconciled"
"Tim's Pension","","24-04-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"Reconcile account","","24-04-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Reconciled"
"Viv's Credit Card (TG)","","23-04-2026","STAPLES#159 TORONTO ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Clock for nursery, chalk, pens, battery for stud finder",76.20$,0.00$,"Reconciled"
"BBC Visa","","23-04-2026","BBC Income","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget","CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM, CA",28.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","23-04-2026","STAPLESPRINT.CA/82UMZY RICHMOND","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.08 ~ Category: Other",16.68$,0.00$,"Reconciled"
"Credit Card (TG)","","23-04-2026","TORONTO EAST HOME HARD TORONTO O","Cumulative: Home Improvement","Cumulative","Home Improvement","rake for soren",14.68$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","23-04-2026","Resales","Inflow: Ready to Assign","Inflow","Ready to Assign","Selling L desk",0.00$,80.00$,"Reconciled"
"Viv's Credit Card (TG)","","22-04-2026","VM 7975 TORONTO ON","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 2.20 ~ Category: Groceries",109.86$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","22-04-2026","TORONTO EAST HOME HARD TORONTO O","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.06 ~ Category: Home Improvement",12.42$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","22-04-2026","","Tax Deductible: Medical","Tax Deductible","Medical","MANULIFE         INS",0.00$,174.85$,"Reconciled"
"WS Joint Checking","","22-04-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1000.00$,"Reconciled"
"Everyday Checking (TG)","","22-04-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","From World Vision Ca",0.00$,1003.61$,"Reconciled"
"BBC Chequing","","21-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","INTERAC E-TRANSFER SEND Studio Tax",282.50$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","21-04-2026","DOLLARAMA # 764 TORONTO ON","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.05 ~ Category: Other",10.17$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","20-04-2026","VM 7975 TORONTO ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 2.40 ~ Category: Groceries",120.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","20-04-2026","CCB","Inflow: Ready to Assign","Inflow","Ready to Assign","CHILD TAX BEN    CCB",0.00$,399.75$,"Reconciled"
"Credit Card (TG)","","19-04-2026","ORIGIN WELLNESS NORTH VANCOUV BC","Tax Deductible: Medical","Tax Deductible","Medical","Rewards earned: 3.50 ~ Category: Bill Payment",175.15$,0.00$,"Reconciled"
"Credit Card (TG)","","19-04-2026","YOU NEED A BUDGET LLC LEHI UT US","Cumulative: Books & Education","Cumulative","Books & Education","Rewards earned: 3.06 ~ Category: Foreign Currency Spend",153.23$,0.00$,"Reconciled"
"Credit Card (TG)","","18-04-2026","CAA MEMBERSHIP THORNHILL ON","Cumulative: Car","Cumulative","Car","Rewards earned: 2.73 ~ Category: Bill Payment",136.73$,0.00$,"Reconciled"
"Credit Card (TG)","","17-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 13.97 ~ Category: Home Improvement",2794.70$,0.00$,"Reconciled"
"Credit Card (TG)","","17-04-2026","No Frills","Monthly: Groceries","Monthly","Groceries","Rewards earned: 3.04 ~ Category: Groceries",151.97$,0.00$,"Reconciled"
"Credit Card (TG)","","17-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.31 ~ Category: Home Improvement",62.13$,0.00$,"Reconciled"
"BBC Visa","","17-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","RECEIPT BK US TA DEXT WWW.DEXT.COM, DC",39.50$,0.00$,"Reconciled"
"Credit Card (TG)","","16-04-2026","OXIO.CA MONTREAL QC","Monthly: Internet","Monthly","Internet","Rewards earned: 1.79 ~ Category: Bill Payment",89.27$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","16-04-2026","Value Village","Cumulative: Clothes","Cumulative","Clothes","Maternity clothes",86.80$,0.00$,"Reconciled"
"Everyday Checking (TG)","","16-04-2026","EFT Withdrawal to World Vision","Tax Deductible: God's Money","Tax Deductible","God's Money","To World Vision",49.00$,0.00$,"Reconciled"
"Credit Card (TG)","","16-04-2026","VM 7975 TORONTO ON","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.59 ~ Category: Groceries",29.73$,0.00$,"Reconciled"
"Credit Card (TG)","","16-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.11 ~ Category: Home Improvement",21.44$,0.00$,"Reconciled"
"Credit Card (TG)","","16-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: -0.11 ~ Category: Home Improvement",0.00$,21.44$,"Reconciled"
"Credit Card (TG)","","16-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: -0.73 ~ Category: Home Improvement",0.00$,146.80$,"Reconciled"
"Credit Card (TG)","","16-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: -1.03 ~ Category: Home Improvement",0.00$,205.52$,"Reconciled"
"BBC Chequing","","15-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT DEBIT CANADA CHEQUE",391.64$,0.00$,"Reconciled"
"Credit Card (TG)","","15-04-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 1.00 ~ Category: Bill Payment",50.00$,0.00$,"Reconciled"
"BBC Chequing","","15-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","ACCOUNTS PAYABLE INTUIT CANADA ULC CHEQUE",4.31$,0.00$,"Reconciled"
"BBC Chequing","","15-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","INTERAC E-TRANSFER RECEIVE THOMAS AMSUSS",0.00$,250.00$,"Reconciled"
"Credit Card (TG)","","14-04-2026","SURECHOICE AUTO SERVIC EAST YORK","Cumulative: Car","Cumulative","Car","changing tires",135.60$,0.00$,"Reconciled"
"Credit Card (TG)","","14-04-2026","Amazon","Monthly: Groceries","Monthly","Groceries","food containers",22.16$,0.00$,"Reconciled"
"Credit Card (TG)","","13-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.73 ~ Category: Home Improvement",146.80$,0.00$,"Reconciled"
"WS Joint Checking","","13-04-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",56.00$,0.00$,"Reconciled"
"WS Joint Checking","","13-04-2026","Transfer : Timmy's TFSA","Savings: House","Savings","House","",26.00$,0.00$,"Reconciled"
"Timmy's TFSA","","13-04-2026","Transfer : WS Joint Checking","","","","",0.00$,26.00$,"Reconciled"
"Viv's TFSA","","13-04-2026","Transfer : WS Joint Checking","","","","",0.00$,56.00$,"Reconciled"
"BBC Chequing","","13-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT CREDIT INTUIT CANADA PAYMENTS INC.",0.00$,140.00$,"Reconciled"
"BBC Chequing","","13-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","INTERAC E-TRANSFER RECEIVE DARCY MARTIN",0.00$,225.00$,"Reconciled"
"BBC Chequing","","13-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","INTERAC E-TRANSFER RECEIVE Luiz Villela",0.00$,791.00$,"Reconciled"
"Credit Card (TG)","","12-04-2026","GOOGLE*YOUTUBE VIDEOS HALIFAX NS","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies","Rewards earned: 0.03 ~ Category: Other",6.77$,0.00$,"Reconciled"
"Credit Card (TG)","","11-04-2026","Amazon","Cumulative: Progeny","Cumulative","Progeny","books, brushes, and drawer dividers",127.44$,0.00$,"Reconciled"
"Credit Card (TG)","","11-04-2026","VM 7975 TORONTO ON","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","Rewards earned: 0.44 ~ Category: Groceries",22.24$,0.00$,"Reconciled"
"Credit Card (TG)","","11-04-2026","VM 7975 TORONTO ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.15 ~ Category: Groceries",7.67$,0.00$,"Reconciled"
"Reconcile account","","10-04-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","10-04-2026","Credit Card Rewards Redemption","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,9.88$,"Reconciled"
"Tim's Pension","","10-04-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"Reconcile account","","10-04-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Reconciled"
"Credit Card (TG)","","09-04-2026","ECONOMICAL INSURANCE WATERLOO ON","Cumulative: Car","Cumulative","Car","Rewards earned: 3.77 ~ Category: Bill Payment",188.32$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","08-04-2026","3050-TOR PRKS/REC-ETOB TORONTO O","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.72 ~ Category: Other",144.54$,0.00$,"Reconciled"
"WS Joint Checking","","08-04-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1000.00$,"Reconciled"
"Everyday Checking (TG)","","08-04-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","From World Vision Ca",0.00$,1003.61$,"Reconciled"
"Amroth Equity","","08-04-2026","","","","","Mortgage Principal Payment",0.00$,1021.70$,"Reconciled"
"Credit Card (TG)","","07-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.85 ~ Category: Home Improvement",169.50$,0.00$,"Reconciled"
"Credit Card (TG)","","07-04-2026","FIDO Mobile ******1514 TORONTO O","Monthly: Cellphone","Monthly","Cellphone","Rewards earned: 0.90 ~ Category: Bill Payment",45.20$,0.00$,"Reconciled"
"Everyday Checking (TG)","","07-04-2026","INTERAC e-Transfer To: Ashley","Cumulative: Progeny","Cumulative","Progeny","Transferred",12.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","07-04-2026","Resales","Inflow: Ready to Assign","Inflow","Ready to Assign","Kalax",0.00$,25.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","No Frills","Cumulative: Progeny","Cumulative","Progeny","Split (1/3) ",70.00$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","No Frills","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","Split (2/3) ",20.00$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","No Frills","Monthly: Groceries","Monthly","Groceries","Split (3/3) ",300.21$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","IKEA ETOBICOKE ETOBICOKE ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 1.52 ~ Category: Furniture",303.96$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","RESTORE ETOBICOKE ETOBICOKE ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.96 ~ Category: Other",191.25$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","RONA+ ETOBICOKE 83096 ETOBICOKE","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.17 ~ Category: Home Improvement",34.01$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","TORONTO EAST HOME HARD TORONTO O","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.14 ~ Category: Home Improvement",28.79$,0.00$,"Reconciled"
"Credit Card (TG)","","06-04-2026","TORONTO EAST HOME HARD TORONTO O","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.06 ~ Category: Home Improvement",11.85$,0.00$,"Reconciled"
"Credit Card (TG)","","05-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 1.03 ~ Category: Home Improvement",205.52$,0.00$,"Reconciled"
"Credit Card (TG)","","05-04-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 2.00 ~ Category: Bill Payment",100.00$,0.00$,"Reconciled"
"Credit Card (TG)","","05-04-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 2.00 ~ Category: Bill Payment",100.00$,0.00$,"Reconciled"
"Credit Card (TG)","","05-04-2026","WORLD VISION CANADA MISSISSAUGA","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 0.78 ~ Category: Bill Payment",39.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","05-04-2026","Gifts","Inflow: Ready to Assign","Inflow","Ready to Assign","Bike gift from Tim & Hannah",0.00$,100.00$,"Reconciled"
"Credit Card (TG)","","04-04-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 3.00 ~ Category: Bill Payment",150.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","04-04-2026","GEORGE'S NF TORONTO BR TORONTO O","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.15 ~ Category: Groceries",7.45$,0.00$,"Reconciled"
"Credit Card (TG)","","03-04-2026","TIM HORTONS TORONTO ON","Tax Deductible: God's Money","Tax Deductible","God's Money","Rewards earned: 0.50 ~ Category: Restaurant",100.00$,0.00$,"Reconciled"
"WS Joint Checking","","02-04-2026","Transfer : Emergency Fund (V-TFSA)","Savings: Emergency Fund","Savings","Emergency Fund","",10000.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","02-04-2026","reconcile","Inflow: Ready to Assign","Inflow","Ready to Assign","LN PYMT   *400609201",4000.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","02-04-2026","Transfer : Amroth Equity","Savings: House","Savings","House","IL170 TFR-TO 4006092",4000.00$,0.00$,"Reconciled"
"WS Joint Checking","","02-04-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",3000.00$,0.00$,"Reconciled"
"WS Joint Checking","","02-04-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",85.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","02-04-2026","EFT Withdrawal to INTER-VARSITY","Tax Deductible: God's Money","Tax Deductible","God's Money","To INTER-VARSITY",50.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","02-04-2026","EFT Withdrawal to EMP LIFE","Monthly: Life Insurance","Monthly","Life Insurance","To EMP LIFE",48.83$,0.00$,"Reconciled"
"BBC Visa","","02-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","GOOGLE *Workspace_bend 855-222-8603, ON",22.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","02-04-2026","Value Mart","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Mar 20",12.00$,0.00$,"Reconciled"
"BBC Visa","","02-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Amazon Web Services www.amazon.ca, ON",0.78$,0.00$,"Reconciled"
"Viv's TFSA","","02-04-2026","Transfer : WS Joint Checking","","","","",0.00$,85.00$,"Reconciled"
"Viv's TFSA","","02-04-2026","Transfer : WS Joint Checking","","","","",0.00$,3000.00$,"Reconciled"
"Viv's Paycheck (TD)","","02-04-2026","reconcile","Inflow: Ready to Assign","Inflow","Ready to Assign","IL413 TFR-FR 4006092",0.00$,4000.00$,"Reconciled"
"Amroth Equity","","02-04-2026","Transfer : Viv's Paycheck (TD)","","","","IL170 TFR-TO 4006092",0.00$,4000.00$,"Reconciled"
"Emergency Fund (V-TFSA)","","02-04-2026","Transfer : WS Joint Checking","","","","",0.00$,10000.00$,"Cleared"
"Viv's Paycheck (TD)","","01-04-2026","","Monthly: Amroth House","Monthly","Amroth House","HQ271 TFR-TO 6466454",3762.05$,0.00$,"Reconciled"
"Credit Card (TG)","","01-04-2026","IKEA ETOBICOKE ETOBICOKE ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 3.02 ~ Category: Furniture",604.55$,0.00$,"Reconciled"
"BBC Chequing","","01-04-2026","Transfer : BBC Visa","","","","MISCELLANEOUS PAYMENTS CIBC CARD PRODUCTS DIVISION CHEQUE",522.52$,0.00$,"Reconciled"
"WS Joint Checking","","01-04-2026","Daycare","Monthly: Daycare","Monthly","Daycare","",478.50$,0.00$,"Reconciled"
"Credit Card (TG)","","01-04-2026","RESTORE ETOBICOKE ETOBICOKE ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.62 ~ Category: Other",123.25$,0.00$,"Reconciled"
"Credit Card (TG)","","01-04-2026","Canadian Tire","Cumulative: Car","Cumulative","Car","Rewards earned: 1.79 ~ Category: Gas",89.27$,0.00$,"Reconciled"
"BBC Visa","","01-04-2026","BBC Income","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget","DIGITALOCEAN.COM SAINT JOHN, NB 27.12 USD @ 1.431784",38.83$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","01-04-2026","SP ODDBUNCH LONDON ON","Monthly: Groceries","Monthly","Groceries","",29.99$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","01-04-2026","Value Village","Cumulative: Clothes","Cumulative","Clothes","",24.96$,0.00$,"Reconciled"
"Credit Card (TG)","","01-04-2026","Home Depot","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.11 ~ Category: Home Improvement",21.44$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","01-04-2026","PRESTO COXWELL","Cumulative: Public Transportation","Cumulative","Public Transportation","",20.00$,0.00$,"Reconciled"
"BBC Chequing","","01-04-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","ACCOUNTS PAYABLE INTUIT CANADA ULC CHEQUE",13.60$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","01-04-2026","Value Village","Cumulative: Clothes","Cumulative","Clothes","",8.37$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","01-04-2026","Value Village","Cumulative: Clothes","Cumulative","Clothes","",8.37$,0.00$,"Reconciled"
"Everyday Checking (TG)","","01-04-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.04$,"Reconciled"
"WS Joint Checking","","01-04-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,29.64$,"Reconciled"
"BBC Visa","","01-04-2026","Transfer : BBC Chequing","","","","MISCELLANEOUS PAYMENTS CIBC CARD PRODUCTS DIVISION CHEQUE",0.00$,522.52$,"Reconciled"
"WS Joint Checking","","31-03-2026","Natalie Martin","Monthly: Groceries","Monthly","Groceries","food prep day",20.00$,0.00$,"Reconciled"
"BBC Chequing","","31-03-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Payment fee",5.82$,0.00$,"Reconciled"
"Credit Card (TG)","","31-03-2026","POURED COFFEE TORONTO ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.03 ~ Category: Restaurant",5.06$,0.00$,"Reconciled"
"Credit Card (TG)","","31-03-2026","POURED COFFEE TORONTO ON","Cumulative: Home Improvement","Cumulative","Home Improvement","Rewards earned: 0.02 ~ Category: Restaurant",4.93$,0.00$,"Reconciled"
"BBC Chequing","","31-03-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Phil",0.00$,460.48$,"Reconciled"
"Reconcile account","","30-03-2026","Transfer : Viv's Pension","Savings: Retirement","Savings","Retirement","Pension Transfer",291.75$,0.00$,"Reconciled"
"BBC Visa","","30-03-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","INTUIT *QBooks Payroll 888-829-8589, ON",204.66$,0.00$,"Reconciled"
"Credit Card (TG)","","30-03-2026","Canada Helps","Tax Deductible: God's Money","Tax Deductible","God's Money","",30.00$,0.00$,"Reconciled"
"Credit Card (TG)","","30-03-2026","Toronto East Home Hard","Cumulative: Home Improvement","Cumulative","Home Improvement","brush and drywall knife",22.01$,0.00$,"Reconciled"
"BBC Chequing","","30-03-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,0.01$,"Reconciled"
"BBC Chequing","","30-03-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Kuro",0.00$,192.10$,"Reconciled"
"Reconcile account","","30-03-2026","Vivian Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,291.75$,"Reconciled"
"Viv's Pension","","30-03-2026","Transfer : Reconcile account","","","","Pension Transfer",0.00$,291.75$,"Uncleared"
"Viv's Paycheck (TD)","","30-03-2026","","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","",0.00$,1001.78$,"Reconciled"
"BBC Chequing","","30-03-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","Allegro",0.00$,1225.93$,"Reconciled"
"Viv's Paycheck (TD)","","30-03-2026","CHURCH OF THE R PAY","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2757.18$,"Reconciled"
"Everyday Checking (TG)","","29-03-2026","Transfer : WS Joint Checking","","","","",5462.09$,0.00$,"Reconciled"
"Everyday Checking (TG)","","29-03-2026","Transfer : Viv's Credit Card (TG)","","","","Credit Card Payment",1544.45$,0.00$,"Reconciled"
"Everyday Checking (TG)","","29-03-2026","Transfer : Credit Card (TG)","","","","Credit Card Payment",1379.62$,0.00$,"Reconciled"
"CC Rewards (TG)","","29-03-2026","Transfer : Everyday Checking (TG)","","","","Completed transfer from Tangerine SAV account 3031100000 ~ Internet Deposit",43.81$,0.00$,"Reconciled"
"CC Rewards (TG)","","29-03-2026","Credit Card Rewards Redemption","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,21.82$,"Reconciled"
"Everyday Checking (TG)","","29-03-2026","Transfer : CC Rewards (TG)","","","","Completed transfer from Tangerine SAV account 3031100000 ~ Internet Deposit",0.00$,43.81$,"Reconciled"
"Credit Card (TG)","","29-03-2026","Transfer : Everyday Checking (TG)","","","","Credit Card Payment",0.00$,1379.62$,"Reconciled"
"Viv's Credit Card (TG)","","29-03-2026","Transfer : Everyday Checking (TG)","","","","Credit Card Payment",0.00$,1544.45$,"Reconciled"
"Viv's Paycheck (TD)","","29-03-2026","CRA","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,4247.98$,"Reconciled"
"WS Joint Checking","","29-03-2026","Transfer : Everyday Checking (TG)","","","","",0.00$,5462.09$,"Reconciled"
"Credit Card (TG)","","28-03-2026","PRESTO FARE/RFM72LLHBP Toronto O","Cumulative: Public Transportation","Cumulative","Public Transportation","Rewards earned: 0.02 ~ Category: Parking",3.30$,0.00$,"Reconciled"
"Reconcile account","","27-03-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Reconciled"
"Credit Card (TG)","","27-03-2026","PRESTO FARE/RFHW92SGKL Toronto O","Cumulative: Public Transportation","Cumulative","Public Transportation","Rewards earned: 0.02 ~ Category: Parking",3.30$,0.00$,"Reconciled"
"Tim's Pension","","27-03-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"Reconcile account","","27-03-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Reconciled"
"Everyday Checking (TG)","","27-03-2026","CRA","Inflow: Ready to Assign","Inflow","Ready to Assign","From CANADA",0.00$,5826.83$,"Reconciled"
"BBC Visa","","26-03-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","CBSA-ASFC OTTAWA, ON",412.26$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","26-03-2026","VM 7975 TORONTO ON","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 1.52 ~ Category: Groceries",76.01$,0.00$,"Reconciled"
"WS Joint Checking","","26-03-2026","Transfer : RESP","Savings: RESP","Savings","RESP","",50.00$,0.00$,"Reconciled"
"RESP","","26-03-2026","Transfer : WS Joint Checking","","","","",0.00$,50.00$,"Cleared"
"Viv's Paycheck (TD)","","26-03-2026","Marketplace","Inflow: Ready to Assign","Inflow","Ready to Assign","Selling the bed",0.00$,180.00$,"Reconciled"
"Everyday Checking (TG)","","25-03-2026","Transfer : Credit Card (TG)","","","","To TANGERINE CCRD",131.73$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","25-03-2026","SP ODDBUNCH LONDON ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.15 ~ Category: Bill Payment",29.99$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","25-03-2026","DOLLARAMA # 764 TORONTO ON","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work","Rewards earned: 0.13 ~ Category: Other",25.14$,0.00$,"Reconciled"
"Credit Card (TG)","","25-03-2026","VM 7975 TORONTO ON","Monthly: Groceries","Monthly","Groceries","Rewards earned: 0.18 ~ Category: Groceries",9.00$,0.00$,"Reconciled"
"Credit Card (TG)","","25-03-2026","Bike Share Toronto","Cumulative: Bike","Cumulative","Bike","Rewards earned: 0.01 ~ Category: Other",1.13$,0.00$,"Reconciled"
"Credit Card (TG)","","25-03-2026","Transfer : Everyday Checking (TG)","","","","To TANGERINE CCRD",0.00$,131.73$,"Reconciled"
"WS Joint Checking","","25-03-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1000.00$,"Reconciled"
